# Plane Wire Noise(ADC) RMS(ADC)
2 218 5.28842 0.0128822
2 219 0.719042 0.000667618
2 220 5.4714 0.0140635
2 221 0.735171 0.000709783
2 222 5.37728 0.0135596
2 223 0.71686 0.000692572
2 224 5.1417 0.0125214
2 225 0.724382 0.000702216
2 226 5.14507 0.0122899
2 227 0.727104 0.000681034
2 228 5.14248 0.0136555
2 229 0.734367 0.00140518
2 230 5.15999 0.0152759
2 231 0.736477 0.000698173
2 232 5.29655 0.0134732
2 233 0.746306 0.000794347
2 234 5.84929 0.0159266
2 235 5.34244 0.0139151
2 236 5.29963 0.0130991
2 237 4.63156 0.0116883
2 238 5.0168 0.0121273
2 239 5.02777 0.0129546
2 240 4.74838 0.0112637
2 241 4.92205 0.0123276
2 242 4.71113 0.0107906
2 243 4.84484 0.0118807
2 244 4.62719 0.010814
2 245 4.92489 0.0120327
2 246 4.71295 0.0108841
2 247 4.81444 0.011957
2 248 4.60872 0.0107124
2 249 4.80902 0.0117553
2 250 4.65712 0.0106486
2 251 4.74272 0.0116668
2 252 4.63833 0.0105431
2 253 4.73269 0.0117799
2 254 4.62226 0.0107364
2 255 4.65897 0.0116602
2 256 4.60204 0.0108265
2 257 4.71409 0.0119121
2 258 4.57352 0.0110083
2 259 4.74674 0.0122742
2 260 4.51297 0.0108329
2 261 4.64325 0.0115118
2 262 4.46262 0.0105917
2 263 4.71201 0.0116659
2 264 4.3298 0.010211
2 265 4.92139 0.0122267
2 266 4.21921 0.00993927
2 267 0 0
2 268 0 0
2 269 0 0
2 270 0 0
2 271 4.31858 0.010803
2 272 4.41837 0.0102712
2 273 4.32747 0.0109878
2 274 4.31818 0.0101689
2 275 4.43747 0.0110681
2 276 4.34236 0.0102778
2 277 4.52338 0.0112927
2 278 4.8424 0.0117804
2 279 1.64374 0.00164366
2 280 5.02186 0.0126942
2 281 4.88378 0.0124682
2 282 4.47535 0.011026
2 283 4.63694 0.0114535
2 284 4.34908 0.010478
2 285 5.55743 0.0118026
2 286 4.62008 0.0107822
2 287 5.46584 0.0118129
2 288 4.52014 0.0105382
2 289 5.591 0.0120907
2 290 4.43094 0.010504
2 291 4.5736 0.0117738
2 292 4.53062 0.0121673
2 293 4.4847 0.0115598
2 294 4.90072 0.0107677
2 295 4.53821 0.0116126
2 296 6.01233 0.0117915
2 297 4.57675 0.011729
2 298 6.0539 0.011552
2 299 4.73502 0.0122185
2 300 6.69434 0.0128115
2 301 5.13798 0.0135062
2 302 6.22479 0.0120686
2 303 4.57311 0.0125359
2 304 4.75859 0.010873
2 305 4.64362 0.0129474
2 306 4.54113 0.0109663
2 307 5.14097 0.0135556
2 308 4.74707 0.012536
2 309 8.33179 0.0149454
2 310 5.14964 0.0146774
2 311 8.87883 0.0143565
2 312 4.60589 0.0114601
2 313 5.75857 0.0132275
2 314 4.51283 0.0112268
2 315 5.04784 0.0138065
2 316 4.53705 0.0112354
2 317 4.98046 0.0143486
2 318 4.49859 0.0112592
2 319 4.96533 0.0145482
2 320 4.48627 0.0111321
2 321 4.89925 0.0141843
2 322 4.5359 0.0114458
2 323 4.95381 0.0143596
2 324 4.74223 0.0121633
2 325 5.42014 0.0157601
2 326 1.9116 0.00225003
2 327 5.36546 0.0154781
2 328 4.95802 0.0127617
2 329 5.18875 0.0147847
2 330 5.412 0.0147346
2 331 7.19194 0.0209547
