# Index Frequency(Hz) Peak(arb) RMS(arb) Gamma(Hz) Bkg(arb)
137 425177 111.272 211.554 1137.62 168.216
138 427053 402.063 492.973 161.881 167.349
139 429346 124.192 199.547 155.685 166.286
140 431013 80.5781 327.589 315.724 165.512
141 431638 50.5899 154.964 120.2 165.221
142 438516 65.1831 169.844 346.201 162.01
143 447270 400.198 352.915 119.684 157.894
144 448103 108.217 194.604 109.186 157.5
145 450188 127.627 207.499 187.296 156.515
146 456232 89.4985 180.457 254.098 153.653
147 465194 338.452 308.596 118.309 149.396
148 473947 133.781 403.133 179.929 145.291
149 477907 255.072 251.714 132.447 143.471
150 480200 73.2149 159.927 157.374 142.421
151 481451 141.938 245.744 511.657 141.849
152 483326 88.9146 161.027 322.743 140.991
153 486453 333.495 396.427 113.027 139.568
154 488745 113.145 180.886 124.879 138.535
155 517090 112.27 343.069 130.464 126.85
156 529596 118.911 168.392 220.768 122.161
157 541684 57.2528 137.403 507.155 117.72
158 542101 47.819 137.056 776.983 117.568
159 560025 55.8735 203.21 353.761 111.12
160 562318 956.628 1083.28 320.619 110.309
161 563985 839.255 903.713 235.037 109.72
162 570238 358.49 315.255 106.521 107.513
163 582326 101.724 142.845 109.717 103.27
164 601917 42.1198 109.36 479.544 96.8764
165 603168 65.902 234.517 110.979 96.5414
166 610880 57.7356 99.7579 141.097 94.4839
167 646311 78.2272 206.712 125.223 86.078
168 665277 115.511 142.327 156.982 82.1909
169 667778 41.1643 123.551 107.016 81.6962
170 689246 92.2749 221.034 287.627 77.6958
171 692372 41.2873 71.7442 106.734 77.216
172 702793 429.218 431.563 211.354 75.6451
173 705085 354.939 411.071 215.272 75.3124
174 729679 159.679 178.454 246.352 71.9352
175 732388 138.237 268.45 106.237 71.5865
176 759066 212.44 256.208 248.12 68.8622
177 766986 270.032 327.084 302.56 68.2758
178 768237 457.834 482.832 224.713 68.1834
179 775531 123.06 212.35 134.482 67.6451
180 779075 162.832 225.204 354.927 67.3845
181 782201 120.743 173.801 308.754 67.1548
182 784285 236.168 288.962 634.178 67.0017
183 784702 189.872 243.42 736.053 66.9712
184 789079 413.17 477.097 300.795 66.6522
185 791163 278.724 336.577 314.553 66.5005
186 795123 256.06 303.584 368.513 66.2137
187 818466 121.379 211.47 232.939 64.613
188 861609 152.658 252.487 105.14 62.1682
189 873281 81.6824 91.8015 297.573 61.6368
190 904752 80.1105 144.404 149.648 60.6251
191 947687 49.6753 99.5411 170.582 59.7339
192 986870 60.0089 82.7356 339.254 59.4235
193 990830 47.2782 94.5012 104.711 59.3913
